Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
Gabriele BOSISIO,Gabriele,BOSISIO,ITA,ITA0007,"Giro d'Italia, 2009",,,,,,,,,,,
Laurens TEN DAM,Laurens,TEN DAM,NED,NED0001,"Vuelta a España, 2010",RABOBANK,RABOBANK,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,BELKIN-PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM GIANT - ALPECIN,TEAM SUNWEB,TEAM SUNWEB,
Thomas ROHREGGER,Thomas,ROHREGGER,AUT,AUT0001,"Giro d'Italia, 2012",TEAM MILRAM,TEAM MILRAM,LEOPARD TREK,RADIOSHACK-NISSAN,,,,,,,
Carlos Jose OCHOA,Carlos Jose,OCHOA,VEN,VEN0002,"Giro d'Italia, 2012",SERRAMENTI PVC DIQUIGIOVANNI-ANDRONI GIOCATTOLI,ANDRONI GIOCATTOLI - SERRAMENTI PVC DIQUIGIOVANNI,ANDRONI GIOCATTOLI - C.I.P.I,ANDRONI GIOCATTOLI - VENEZUELA,,,,,,,
Daniel NAVARRO GARCIA,Daniel,NAVARRO GARCIA,ESP,ESP0003,"Vuelta a España, 2019",ASTANA,ASTANA,SAXO BANK SUNGARD,TEAM SAXO BANK-TINKOFF BANK,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",TEAM KATUSHA ALPECIN
Michele SCARPONI,Michele,SCARPONI,ITA,ITA0008,"Tour de France, 2015",SERRAMENTI PVC DIQUIGIOVANNI-ANDRONI GIOCATTOLI,ANDRONI GIOCATTOLI - SERRAMENTI PVC DIQUIGIOVANNI,LAMPRE - ISD,LAMPRE - ISD,LAMPRE-MERIDA,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,,,
Serge PAUWELS,Serge,PAUWELS,BEL,BEL0003,"Tour de France, 2019",CERVELO TEST TEAM,SKY PROFESSIONAL CYCLING TEAM,,OMEGA PHARMA-QUICKSTEP,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,MTN - QHUBEKA,TEAM DIMENSION DATA,TEAM DIMENSION DATA,,CCC TEAM
Evgeny PETROV,Evgeny,PETROV,RUS,RUS0003,"Giro d'Italia, 2016",TEAM KATUSHA,TEAM KATUSHA,PRO TEAM ASTANA,ASTANA PRO TEAM,Team SAXO-TINKOFF,TINKOFF-SAXO,,TINKOFF,,,
Andrey ZEITS,Andrey,ZEITS,KAZ,KAZ0001,"Vuelta a España, 2010",ASTANA,ASTANA,PRO TEAM ASTANA,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM
Chris FROOME,Chris,FROOME,GBR,GBR0001,"Vuelta a España, 2011",BARLOWORLD,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,SKY PROCYCLING,SKY PROCYCLING,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,
Aleksandr EFIMKIN,Aleksandr,EFIMKIN,RUS,RUS0004,"Giro d'Italia, 2010",AG2R LA MONDIALE,AG2R LA MONDIALE,,,,,,,,,
Paolo TIRALONGO,Paolo,TIRALONGO,ITA,ITA0009,"Tour de France, 2016",LAMPRE - N.G.C,ASTANA,PRO TEAM ASTANA,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,,
