Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
Ole Gabriel RASCH,Ole Gabriel,RASCH,NOR,NOR0002,"Vuelta a España, 2009",CERVELO TEST TEAM,CERVELO TEST TEAM,,FDJ-BIG MAT,,,,,,,
William BONNET,William,BONNET,FRA,FRA0028,"Tour de France, 2019",BBOX BOUYGUES TELECOM,BBOX BOUYGUES TELECOM,FDJ,FDJ-BIG MAT,FDJ.fr,FDJ.fr,FDJ,FDJ,,,GROUPAMA - FDJ
Wouter WEYLANDT,Wouter,WEYLANDT,BEL,BEL0015,"Vuelta a España, 2009",QUICK STEP,QUICK STEP,LEOPARD TREK,,,,,,,,
Mickaël BUFFAZ,Mickaël,BUFFAZ,FRA,FRA0029,"Vuelta a España, 2012","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE",,,,,,,
Dominik ROELS,Dominik,ROELS,GER,GER0011,"Vuelta a España, 2009",TEAM MILRAM,TEAM MILRAM,,,,,,,,,
Jack BOBRIDGE,Jack,BOBRIDGE,AUS,AUS0015,"Giro d'Italia, 2016",,GARMIN - TRANSITIONS,,ORICA GreenEDGE,BLANCO PRO CYCLING TEAM,,,TREK - SEGAFREDO,,,
Danilo HONDO,Danilo,HONDO,GER,GER0012,"Tour de France, 2012",,LAMPRE-FARNESE VINI,LAMPRE - ISD,LAMPRE - ISD,RADIOSHACK LEOPARD,TREK FACTORY RACING,,,,,
Fabian WEGMANN,Fabian,WEGMANN,GER,GER0013,"Tour de France, 2009",TEAM MILRAM,TEAM MILRAM,LEOPARD TREK,,,GARMIN SHARP,,,,,
Marcel SIEBERG,Marcel,SIEBERG,GER,GER0014,"Vuelta a España, 2009",TEAM COLUMBIA - HTC,TEAM HTC - COLUMBIA,OMEGA PHARMA-LOTTO,LOTTO BELISOL TEAM,LOTTO BELISOL,LOTTO BELISOL,LOTTO SOUDAL,LOTTO SOUDAL,,,
Rene MANDRI,Rene,MANDRI,EST,EST0002,"Giro d'Italia, 2010",,AG2R LA MONDIALE,,,,,,,,,
Alexsandr DYACHENKO,Alexsandr,DYACHENKO,KAZ,KAZ0004,"Giro d'Italia, 2012",,ASTANA,PRO TEAM ASTANA,ASTANA PRO TEAM,,,,,,,
Manuel BELLETTI,Manuel,BELLETTI,ITA,ITA0071,"Giro d'Italia, 2019",,COLNAGO - CSF INOX,COLNAGO - CSF INOX,AG2R LA MONDIALE,AG2R LA MONDIALE,ANDRONI GIOCATTOLI - VENEZUELA,SOUTHEAST,WILIER TRIESTINA - SOUTHEAST,,ANDRONI GIOCATTOLI - SIDERMEC,ANDRONI GIOCATTOLI - SIDERMEC
Paul VOß,Paul,VOß,GER,GER0015,"Vuelta a España, 2013",TEAM MILRAM,TEAM MILRAM,,,TEAM NETAPP - ENDURA,TEAM NETAPP - ENDURA,BORA-ARGON 18,BORA-ARGON 18,,,
Jeff LOUDER,Jeff,LOUDER,USA,USA0013,"Giro d'Italia, 2010",,BMC RACING TEAM,,,,,,,,,
Valentin IGLINSKIY,Valentin,IGLINSKIY,KAZ,KAZ0005,"Giro d'Italia, 2010",,ASTANA,,,,,,,,,
Michele MERLO,Michele,MERLO,ITA,ITA0072,"Giro d'Italia, 2010",,FOOTON-SERVETTO,,,,,,,,,
Anthony RAVARD,Anthony,RAVARD,FRA,FRA0030,"Giro d'Italia, 2010",,AG2R LA MONDIALE,,,,,,,,,
Adam James HANSEN,Adam James,HANSEN,AUS,AUS0016,"Vuelta a España, 2011",TEAM COLUMBIA - HTC,TEAM HTC - COLUMBIA,OMEGA PHARMA-LOTTO,LOTTO BELISOL TEAM,LOTTO BELISOL,LOTTO BELISOL,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL
Adam BLYTHE,Adam,BLYTHE,GBR,GBR0011,"Vuelta a España, 2017",,OMEGA PHARMA-LOTTO,OMEGA PHARMA-LOTTO,,BMC RACING TEAM,,,,AQUA BLUE SPORT,,
Federico CANUTI,Federico,CANUTI,ITA,ITA0073,"Tour de France, 2012",,COLNAGO - CSF INOX,COLNAGO - CSF INOX,LIQUIGAS-CANNONDALE,,,,,,,
Xavier TONDO VOLPINI,Xavier,TONDO VOLPINI,ESP,ESP0030,"Vuelta a España, 2009",ANDALUCIA CAJASUR,CERVELO TEST TEAM,,,,,,,,,
David LOOSLI,David,LOOSLI,SUI,SUI0010,"Tour de France, 2011",LAMPRE - N.G.C,LAMPRE-FARNESE VINI,LAMPRE - ISD,,,,,,,,
Alberto LODDO,Alberto,LODDO,ITA,ITA0074,"Giro d'Italia, 2010",,ANDRONI GIOCATTOLI - SERRAMENTI PVC DIQUIGIOVANNI,,,,,,,,,
Mauro SANTAMBROGIO,Mauro,SANTAMBROGIO,ITA,ITA0075,"Vuelta a España, 2011",LAMPRE - N.G.C,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,VINI FANTINI - SELLE ITALIA,,,,,,
John MURPHY,John,MURPHY,USA,USA0014,"Giro d'Italia, 2010",,BMC RACING TEAM,,,,,,,,,
Ermanno CAPELLI,Ermanno,CAPELLI,ITA,ITA0076,"Giro d'Italia, 2010",,FOOTON-SERVETTO,,,,,,,,,
Robbie MCEWEN,Robbie,MCEWEN,AUS,AUS0017,"Giro d'Italia, 2011",,TEAM KATUSHA,TEAM RADIOSHACK,,,,,,,,
Baden COOKE,Baden,COOKE,AUS,AUS0018,"Vuelta a España, 2013",,TEAM SAXO BANK,,ORICA GreenEDGE,ORICA GreenEDGE,,,,,,
André GREIPEL,André,GREIPEL,GER,GER0016,"Vuelta a España, 2009",TEAM COLUMBIA - HTC,TEAM HTC - COLUMBIA,OMEGA PHARMA-LOTTO,LOTTO BELISOL TEAM,LOTTO BELISOL,LOTTO BELISOL,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL,,TEAM ARKEA - SAMSIC
Martin PEDERSEN,Martin,PEDERSEN,DEN,DEN0007,"Giro d'Italia, 2010",,FOOTON-SERVETTO,,,,,,,,,
Martin KOHLER,Martin,KOHLER,SUI,SUI0011,"Vuelta a España, 2013",,BMC RACING TEAM,BMC RACING TEAM,,BMC RACING TEAM,,,,,,
Roman KREUZIGER,Roman,KREUZIGER,CZE,CZE0002,"Tour de France, 2019",LIQUIGAS,LIQUIGAS-DOIMO,PRO TEAM ASTANA,ASTANA PRO TEAM,Team SAXO-TINKOFF,,TINKOFF - SAXO,TINKOFF,ORICA - SCOTT,MITCHELTON - SCOTT,TEAM DIMENSION DATA
José RUJANO GUILLEN,José,RUJANO GUILLEN,VEN,VEN0003,"Giro d'Italia, 2012",,,ANDRONI GIOCATTOLI - C.I.P.I,ANDRONI GIOCATTOLI - VENEZUELA,,,,,,,
Mikel NIEVE ITURRALDE,Mikel,NIEVE ITURRALDE,ESP,ESP0031,"Vuelta a España, 2010",,EUSKALTEL - EUSKADI,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,MITCHELTON - SCOTT,MITCHELTON - SCOTT
Christophe LE MEVEL,Christophe,LE MEVEL,FRA,FRA0031,"Vuelta a España, 2014",FRANÇAISE DES JEUX,FDJ,TEAM GARMIN-CERVELO,GARMIN - SHARP,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",,,,,
Matteo CARRARA,Matteo,CARRARA,ITA,ITA0077,"Vuelta a España, 2009",VACANSOLEIL PRO CYCLING TEAM,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,,,,
Igor ANTON HERNANDEZ,Igor,ANTON HERNANDEZ,ESP,ESP0032,"Vuelta a España, 2018",EUSKALTEL - EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,MOVISTAR TEAM,MOVISTAR TEAM,TEAM DIMENSION DATA,TEAM DIMENSION DATA,TEAM DIMENSION DATA,
Tiago MACHADO,Tiago,MACHADO,POR,POR0001,"Vuelta a España, 2018",,,TEAM RADIOSHACK,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,TEAM NETAPP - ENDURA,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA ALPECIN,TEAM KATUSHA ALPECIN,
Peter STETINA,Peter,STETINA,USA,USA0015,"Vuelta a España, 2019",,,TEAM GARMIN-CERVELO,GARMIN - BARRACUDA,GARMIN SHARP,BMC RACING TEAM,,TREK - SEGAFREDO,TREK - SEGAFREDO,,TREK - SEGAFREDO
Bart DE CLERCQ,Bart,DE CLERCQ,BEL,BEL0016,"Vuelta a España, 2017",,,OMEGA PHARMA-LOTTO,LOTTO BELISOL TEAM,LOTTO BELISOL,LOTTO BELISOL,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL,,
Jesus HERNANDEZ BLAZQUEZ,Jesus,HERNANDEZ BLAZQUEZ,ESP,ESP0033,"Vuelta a España, 2012",ASTANA,ASTANA,SAXO BANK SUNGARD,TEAM SAXO BANK-TINKOFF BANK,Team SAXO-TINKOFF,TINKOFF-SAXO,,TINKOFF,TREK - SEGAFREDO,,
Emanuele SELLA,Emanuele,SELLA,ITA,ITA0078,"Giro d'Italia, 2014",,,ANDRONI GIOCATTOLI - C.I.P.I,ANDRONI GIOCATTOLI - VENEZUELA,ANDRONI GIOCATTOLI - VENEZUELA,ANDRONI GIOCATTOLI - VENEZUELA,,,,,
Bram TANKINK,Bram,TANKINK,NED,NED0012,"Vuelta a España, 2009",RABOBANK,RABOBANK,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,BELKIN-PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,,,
Przemyslaw NIEMIEC,Przemyslaw,NIEMIEC,POL,POL0004,"Vuelta a España, 2017",,,LAMPRE - ISD,LAMPRE - ISD,LAMPRE-MERIDA,LAMPRE-MERIDA,LAMPRE - MERIDA,LAMPRE - MERIDA,UAE TEAM EMIRATES,,
Diego ULISSI,Diego,ULISSI,ITA,ITA0079,"Vuelta a España, 2013",,,LAMPRE - ISD,LAMPRE - ISD,LAMPRE-MERIDA,LAMPRE-MERIDA,LAMPRE - MERIDA,LAMPRE - MERIDA,UAE TEAM EMIRATES,UAE TEAM EMIRATES,UAE TEAM EMIRATES
Sergio PARDILLA BELLON,Sergio,PARDILLA BELLON,ESP,ESP0034,"Vuelta a España, 2019",,,MOVISTAR TEAM,MOVISTAR TEAM,,MTN - QHUBEKA,,CAJA RURAL-SEGUROS RGA,CAJA RURAL - SEGUROS RGA,CAJA RURAL - SEGUROS RGA,CAJA RURAL - SEGUROS RGA
Luis PASAMONTES RODRIGUEZ,Luis,PASAMONTES RODRIGUEZ,ESP,ESP0035,"Vuelta a España, 2010",CAISSE D'EPARGNE,CAISSE D'EPARGNE,MOVISTAR TEAM,,,,,,,,
Cristiano SALERNO,Cristiano,SALERNO,ITA,ITA0080,"Giro d'Italia, 2013",,,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,CANNONDALE PRO CYCLING,,,,,,
Johnny HOOGERLAND,Johnny,HOOGERLAND,NED,NED0013,"Vuelta a España, 2009",VACANSOLEIL PRO CYCLING TEAM,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,ANDRONI GIOCATTOLI - VENEZUELA,,,,,
Carlos BETANCUR,Carlos,BETANCUR,COL,COL0008,"Vuelta a España, 2014",,,ACQUA & SAPONE,,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,
Mikael CHEREL,Mikael,CHEREL,FRA,FRA0032,"Vuelta a España, 2018",FRANÇAISE DES JEUX,FDJ,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,,AG2R LA MONDIALE,AG2R LA MONDIALE
Iñaki ISASI FLORES,Iñaki,ISASI FLORES,ESP,ESP0036,"Vuelta a España, 2009",EUSKALTEL - EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL-EUSKADI,,,,,,,,
David BLANCO RODRIGUEZ,David,BLANCO RODRIGUEZ,ESP,ESP0037,"Giro d'Italia, 2011",,,GEOX-TMC,,,,,,,,
Fumiyuki BEPPU,Fumiyuki,BEPPU,JPN,JPN0002,"Vuelta a España, 2016",SKIL-SHIMANO,,TEAM RADIOSHACK,ORICA GreenEDGE,,TREK FACTORY RACING,TREK FACTORY RACING,TREK - SEGAFREDO,,,
Jorge AZANZA SOTO,Jorge,AZANZA SOTO,ESP,ESP0038,"Tour de France, 2012",,,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,,,,,,
Rinaldo NOCENTINI,Rinaldo,NOCENTINI,ITA,ITA0081,"Vuelta a España, 2014",AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,,,,
Ángel VICIOSO ARCOS,Ángel,VICIOSO ARCOS,ESP,ESP0039,"Vuelta a España, 2015",,,ANDRONI GIOCATTOLI - C.I.P.I,KATUSHA TEAM,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA,,,
Ivan ROVNY,Ivan,ROVNY,RUS,RUS0015,"Giro d'Italia, 2017",,,TEAM RADIOSHACK,,,TINKOFF-SAXO,TINKOFF - SAXO,TINKOFF,GAZPROM - RUSVELO,,
Mathias FRANK,Mathias,FRANK,SUI,SUI0012,"Tour de France, 2019",,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,,IAM CYCLING,IAM CYCLING,IAM CYCLING,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE
Peter KENNAUGH,Peter,KENNAUGH,GBR,GBR0012,"Vuelta a España, 2016",,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,SKY PROCYCLING,SKY PROCYCLING,TEAM SKY,TEAM SKY,TEAM SKY,,,
Ben GASTAUER,Ben,GASTAUER,LUX,LUX0002,"Vuelta a España, 2018",,,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE
Thomas PETERSON,Thomas,PETERSON,USA,USA0016,"Vuelta a España, 2013",,GARMIN - TRANSITIONS,TEAM GARMIN-CERVELO,GARMIN - SHARP,TEAM ARGOS-SHIMANO,,,,,,
Aliaksandr KUCHYNSKI,Aliaksandr,KUCHYNSKI,BLR,BLR0004,"Tour de France, 2013",LIQUIGAS,LIQUIGAS-DOIMO,KATUSHA TEAM,KATUSHA TEAM,KATUSHA,,,,,,
Sergey LAGUTIN,Sergey,LAGUTIN,UZB,UZB0001,"Vuelta a España, 2009",VACANSOLEIL PRO CYCLING TEAM,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,,,
Lars Petter NORDHAUG,Lars Petter,NORDHAUG,NOR,NOR0003,"Vuelta a España, 2010",,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,,BELKIN-PRO CYCLING TEAM,,,,,,
Kristof VANDEWALLE,Kristof,VANDEWALLE,BEL,BEL0017,"Vuelta a España, 2014",,,QUICKSTEP CYCLING TEAM,OMEGA PHARMA-QUICKSTEP,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,TREK FACTORY RACING,TREK FACTORY RACING,,,,
Gianluca BRAMBILLA,Gianluca,BRAMBILLA,ITA,ITA0082,"Vuelta a España, 2015",,,COLNAGO - CSF INOX,COLNAGO - CSF INOX,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,ETIXX - QUICK STEP,QUICK - STEP FLOORS,TREK - SEGAFREDO,TREK - SEGAFREDO
Gert DOCKX,Gert,DOCKX,BEL,BEL0018,"Vuelta a España, 2016",,,OMEGA PHARMA-LOTTO,,LOTTO BELISOL,LOTTO BELISOL,,LOTTO SOUDAL,,,
Fabio * TABORRE,Fabio *,TABORRE,ITA,ITA0083,"Giro d'Italia, 2013",,,ACQUA & SAPONE,,VINI FANTINI - SELLE ITALIA,,,,,,
Cyril DESSEL,Cyril,DESSEL,FRA,FRA0033,"Tour de France, 2009",AG2R LA MONDIALE,,AG2R LA MONDIALE,,,,,,,,
Maxim BELKOV,Maxim,BELKOV,RUS,RUS0016,"Giro d'Italia, 2018",,,VACANSOLEIL-DCM PRO CYCLING TEAM,,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA ALPECIN,TEAM KATUSHA ALPECIN,
Frederik VEUCHELEN,Frederik,VEUCHELEN,BEL,BEL0019,"Giro d'Italia, 2013",,,VACANSOLEIL-DCM PRO CYCLING TEAM,,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,,,
Stef CLEMENT,Stef,CLEMENT,NED,NED0014,"Tour de France, 2016",RABOBANK,,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,BLANCO PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,IAM CYCLING,IAM CYCLING,TEAM LOTTO NL - JUMBO,,
Alessandro DE MARCHI,Alessandro,DE MARCHI,ITA,ITA0084,"Vuelta a España, 2015",,,ANDRONI GIOCATTOLI - C.I.P.I,ANDRONI GIOCATTOLI - VENEZUELA,CANNONDALE PRO CYCLING,CANNONDALE,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,
Carlos OYARZÚN,Carlos,OYARZÚN,CHI,CHI0001,"Giro d'Italia, 2011",,,MOVISTAR TEAM,,,,,,,,
Matteo RABOTTINI,Matteo,RABOTTINI,ITA,ITA0085,"Giro d'Italia, 2014",,,FARNESE VINI - NERI SOTTOLI,FARNESE VINI - SELLE ITALIA,VINI FANTINI - SELLE ITALIA,NERI SOTTOLI,,,,,
Leonardo GIORDANI,Leonardo,GIORDANI,ITA,ITA0086,"Giro d'Italia, 2011",,,FARNESE VINI - NERI SOTTOLI,,,,,,,,
Javier Francisco ARAMENDIA LORENTE,Javier Francisco,ARAMENDIA LORENTE,ESP,ESP0040,"Vuelta a España, 2014",,,EUSKALTEL-EUSKADI,CAJA RURAL,CAJA RURAL - SEGUROS RGA,CAJA RURAL - SEGUROS RGA,,,,,
Mirko SELVAGGI,Mirko,SELVAGGI,ITA,ITA0087,"Giro d'Italia, 2012",,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,,,,
Simon ŠPILAK,Simon,ŠPILAK,SLO,SLO0005,"Tour de France, 2014",LAMPRE - N.G.C,LAMPRE-FARNESE VINI,LAMPRE - ISD,,,TEAM KATUSHA,,,,,
Jussi VEIKKANEN,Jussi,VEIKKANEN,FIN,FIN0002,"Vuelta a España, 2013",FRANÇAISE DES JEUX,,OMEGA PHARMA-LOTTO,FDJ-BIG MAT,FDJ.fr,FDJ.fr,FDJ,,,,
Dennis VAN WINDEN,Dennis,VAN WINDEN,NED,NED0015,"Vuelta a España, 2015",,,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,,,TEAM LOTTO NL - JUMBO,,,,
Julien BERARD,Julien,BERARD,FRA,FRA0034,"Giro d'Italia, 2017",,,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,,AG2R LA MONDIALE,,
Pierre CAZAUX,Pierre,CAZAUX,FRA,FRA0035,"Vuelta a España, 2010",,FDJ,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,,,,,,,
Bjorn SELANDER,Bjorn,SELANDER,USA,USA0017,"Giro d'Italia, 2011",,,TEAM RADIOSHACK,,,,,,,,
Simon ZAHNER,Simon,ZAHNER,SUI,SUI0013,"Giro d'Italia, 2011",,,BMC RACING TEAM,,,,,,,,
Miguel MINGUEZ AYALA,Miguel,MINGUEZ AYALA,ESP,ESP0041,"Giro d'Italia, 2013",,,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,,,,,,
Patrick GRETSCH,Patrick,GRETSCH,GER,GER0017,"Tour de France, 2012",,,HTC-HIGHROAD,TEAM ARGOS - SHIMANO,TEAM ARGOS-SHIMANO,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,,,
Russell DOWNING,Russell,DOWNING,GBR,GBR0013,"Giro d'Italia, 2011",,,SKY PROCYCLING,,,,,,,,
Roberto FERRARI,Roberto,FERRARI,ITA,ITA0088,"Tour de France, 2018",,,ANDRONI GIOCATTOLI - C.I.P.I,ANDRONI GIOCATTOLI - VENEZUELA,LAMPRE-MERIDA,LAMPRE-MERIDA,LAMPRE - MERIDA,LAMPRE - MERIDA,UAE TEAM EMIRATES,UAE TEAM EMIRATES,
Alberto ONGARATO,Alberto,ONGARATO,ITA,ITA0089,"Giro d'Italia, 2011",,,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,,,,,
Klaas LODEWYCK,Klaas,LODEWYCK,BEL,BEL0020,"Vuelta a España, 2012",,,OMEGA PHARMA-LOTTO,BMC RACING TEAM,BMC RACING TEAM,,,,,,
Davide RICCI BITTI,Davide,RICCI BITTI,ITA,ITA0090,"Giro d'Italia, 2011",,,FARNESE VINI - NERI SOTTOLI,,,,,,,,
Daniel SESMA,Daniel,SESMA,ESP,ESP0042,"Giro d'Italia, 2011",,,EUSKALTEL-EUSKADI,,,,,,,,
Claudio CORIONI,Claudio,CORIONI,ITA,ITA0091,"Giro d'Italia, 2011",,,ACQUA & SAPONE,,,,,,,,
Maxim GOUROV,Maxim,GOUROV,KAZ,KAZ0006,"Giro d'Italia, 2011",,,PRO TEAM ASTANA,,,,,,,,
Chad BEYER,Chad,BEYER,USA,USA0018,"Giro d'Italia, 2011",,,BMC RACING TEAM,,,,,,,,
Alex RASMUSSEN,Alex,RASMUSSEN,DEN,DEN0008,"Vuelta a España, 2013",,,HTC-HIGHROAD,GARMIN - BARRACUDA,GARMIN SHARP,,,,,,
Alexander KRISTOFF,Alexander,KRISTOFF,NOR,NOR0004,"Tour de France, 2019",,,BMC RACING TEAM,KATUSHA TEAM,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA ALPECIN,UAE TEAM EMIRATES,UAE TEAM EMIRATES
Elia FAVILLI,Elia,FAVILLI,ITA,ITA0092,"Vuelta a España, 2014",,,FARNESE VINI - NERI SOTTOLI,FARNESE VINI - SELLE ITALIA,LAMPRE-MERIDA,LAMPRE-MERIDA,SOUTHEAST,,,,
Alberto CONTADOR VELASCO,Alberto,CONTADOR VELASCO,ESP,ESP0043,"Vuelta a España, 2012",ASTANA,ASTANA,SAXO BANK SUNGARD,TEAM SAXO BANK-TINKOFF BANK,Team SAXO-TINKOFF,TINKOFF-SAXO,TINKOFF - SAXO,TINKOFF,TREK - SEGAFREDO,,
Bruno PIRES,Bruno,PIRES,POR,POR0002,"Vuelta a España, 2012",,,LEOPARD TREK,TEAM SAXO BANK-TINKOFF BANK,Team SAXO-TINKOFF,,,,,,
Francisco Jose VENTOSO ALBERDI,Francisco Jose,VENTOSO ALBERDI,ESP,ESP0044,"Vuelta a España, 2015",,,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,,BMC RACING TEAM,BMC RACING TEAM,CCC TEAM
Fabio Andres DUARTE AREVALO,Fabio Andres,DUARTE AREVALO,COL,COL0009,"Vuelta a España, 2015",,,GEOX-TMC,,COLOMBIA,COLOMBIA,COLOMBIA,,,,
Manuel CARDOSO,Manuel,CARDOSO,POR,POR0003,"Vuelta a España, 2012",,FOOTON-SERVETTO,TEAM RADIOSHACK,CAJA RURAL,,,,,,,
Juan José OROZ,Juan José,OROZ,ESP,ESP0045,"Tour de France, 2013",EUSKALTEL - EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,,,,,,
Francesco CHICCHI,Francesco,CHICCHI,ITA,ITA0093,"Giro d'Italia, 2014",,,QUICKSTEP CYCLING TEAM,OMEGA PHARMA-QUICKSTEP,VINI FANTINI - SELLE ITALIA,NERI SOTTOLI,,,,,
Brett LANCASTER,Brett,LANCASTER,AUS,AUS0019,"Tour de France, 2010",CERVELO TEST TEAM,CERVELO TEST TEAM,TEAM GARMIN-CERVELO,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,,,,
Oliver ZAUGG,Oliver,ZAUGG,SUI,SUI0014,"Vuelta a España, 2014",LIQUIGAS,LIQUIGAS-DOIMO,LEOPARD TREK,RADIOSHACK-NISSAN,Team SAXO-TINKOFF,TINKOFF-SAXO,,,,,
Michal GOLAS,Michal,GOLAS,POL,POL0005,"Vuelta a España, 2016",,,VACANSOLEIL-DCM PRO CYCLING TEAM,OMEGA PHARMA-QUICKSTEP,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,TEAM SKY,TEAM SKY,,
Davide APPOLLONIO,Davide,APPOLLONIO,ITA,ITA0094,"Giro d'Italia, 2015",,,SKY PROCYCLING,,AG2R LA MONDIALE,AG2R LA MONDIALE,ANDRONI GIOCATTOLI - SIDERMEC,,,,
Matthew WILSON,Matthew,WILSON,AUS,AUS0020,"Vuelta a España, 2010",,GARMIN - TRANSITIONS,TEAM GARMIN-CERVELO,,,,,,,,
Brice FEILLU,Brice,FEILLU,FRA,FRA0036,"Tour de France, 2017",AGRITUBEL,,LEOPARD TREK,SAUR - SOJASUN,SOJASUN,BRETAGNE - SECHE ENVIRONNEMENT,BRETAGNE-SECHE ENVIRONNEMENT,FORTUNEO - VITAL CONCEPT,FORTUNEO - OSCARO,,
Borut BOZIC,Borut,BOZIC,SLO,SLO0006,"Vuelta a España, 2009",VACANSOLEIL PRO CYCLING TEAM,,VACANSOLEIL-DCM PRO CYCLING TEAM,ASTANA PRO TEAM,,ASTANA PRO TEAM,,"COFIDIS, SOLUTIONS CREDITS",BAHRAIN - MERIDA,,
Filippo SAVINI,Filippo,SAVINI,ITA,ITA0095,"Giro d'Italia, 2011",,,COLNAGO - CSF INOX,,,,,,,,
Dominic KLEMME,Dominic,KLEMME,GER,GER0018,"Vuelta a España, 2014",,TEAM SAXO BANK,LEOPARD TREK,,,IAM CYCLING,,,,,
Gerald CIOLEK,Gerald,CIOLEK,GER,GER0019,"Vuelta a España, 2014",TEAM MILRAM,TEAM MILRAM,QUICKSTEP CYCLING TEAM,,,MTN - QHUBEKA,,,,,
Rafael VALLS FERRI,Rafael,VALLS FERRI,ESP,ESP0046,"Tour de France, 2015",,FOOTON-SERVETTO,GEOX-TMC,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,LAMPRE-MERIDA,LAMPRE - MERIDA,,,,
